Job Title,Job Salary,Job Experience Required,Skills,Role,Location
Sales Engineer," 1,75,000 - 3,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales,Ahmedabad
Business Development Manager," 10,00,000 - 15,00,000 PA. ",3,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Chennai
Art Director," 5,00,000 - 8,00,000 PA. ",5,"Creative Direction, Adobe Creative Suite, Branding, Visual Design, Team Management",Art Director / Senior Art Director,Mumbai
Business Development Executive," 2,50,000 - 3,75,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Gurgaon
Asst Manager," 5,00,000 - 10,00,000 PA. ",3,"Team Coordination, Process Management, Reporting, Operations Support",Business Development Manager,Faridabad
Medical Coding Jobs ," 3,00,000 - 4,75,000 PA. ",0,"ICD-10, CPT, HCPCS, Medical Terminology, Billing, Healthcare Compliance",Medical Officer,Chennai
Asp.net MVC Developer," 2,00,000 - 6,00,000 PA. ",2,"ASP.NET MVC, C#, Razor, Entity Framework, SQL Server",Software Developer,Mumbai
Business Development Executive," 3,00,000 - 6,00,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Mumbai
Marketing Executive," 2,00,000 - 3,25,000 PA. ",0,"Digital Marketing, SEO, Content Creation, Campaign Management",Promotion Executive,Hyderabad
Graphic Designer," 1,00,000 - 2,50,000 PA. ",1,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",Graphic Designer,Mumbai
Field Sales Associate For Education Sector," 2,50,000 - 5,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Bengaluru
SAP Basis Consultant," 4,00,000 - 8,50,000 PA. ",3,"SAP Basis, System Administration, Transport Management, Kernel Upgrades",Outside Technical Consultant,Mumbai
Accounts Executive," 3,00,000 - 5,00,000 PA. ",2,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Hyderabad
Executive," 4,00,000 - 6,50,000 PA. ",4,"Communication, Coordination, Data Entry, Reporting, Office Administration",Project Manager-Production / Manufacturing / Maintenance,Hyderabad
Manager Indirect Taxation," 4,25,000 - 8,50,000 PA. ",2,"GST, VAT, Indirect Tax Compliance, Return Filing, Tally ERP",Taxation(Direct) Manager,Delhi
Account Assistant," 2,00,000 - 3,00,000 PA. ",5,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive / Accountant,Kolkata
Web Designer," 1,00,000 - 1,25,000 PA. ",1,"HTML, CSS, Adobe XD, Figma, UI/UX Design, Responsive Design",Web Designer,Delhi
Graphic Designer," 2,00,000 - 5,50,000 PA. ",4,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",Graphic Designer,Mumbai
Technical Support Engineer," 2,25,000 - 4,50,000 PA. ",0,"Troubleshooting, Customer Service, Hardware Support, Software Support",Senior Associate -(NonTechnical),Bengaluru
HR," 2,00,000 - 4,00,000 PA. ",1,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Pune
IOS Developer," 3,00,000 - 5,00,000 PA. ",2,"Swift, Xcode, iOS SDK, UIKit, Cocoa Touch, Mobile App Development",Software Developer,Delhi
Area Sales Manager," 4,00,000 - 6,00,000 PA. ",8,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Kolkata
Chef De Partie," 2,75,000 - 4,00,000 PA. ",4,"Food Preparation, Kitchen Supervision, HACCP, Culinary Skills, Inventory Management",Chef De Partis,Mumbai
Travel Sales Consultant," 1,75,000 - 2,25,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Travel Agent,Delhi
UI UX Designer," 2,00,000 - 3,00,000 PA. ",0,"Figma, Adobe XD, Wireframing, Prototyping, Interaction Design",Web Designer,Bengaluru
Inside Sales Executive," 4,00,000 - 8,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Bengaluru
Purchase Executive," 1,50,000 - 2,50,000 PA. ",2,"Procurement, Vendor Negotiation, Inventory Management, SAP",Purchase Executive,Kolkata
Deputy Manager," 2,50,000 - 5,00,000 PA. ",3,"Team Management, Strategic Planning, Performance Monitoring, Reporting, Process Improvement",Accounts Manager,Mumbai
Branch Manager," 8,00,000 - 10,00,000 PA. ",5,"Branch Operations, Sales, Team Leadership, Compliance, Customer Relations",Branch Manager,Mumbai
Big Data Architect," 10,00,000 - 20,00,000 PA. ",9,"Networking, System Administration, Security, Technical Support, Cloud Computing",Technical Architect,Bengaluru
Sales Consultant," 3,00,000 - 7,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Regional Sales Manager,Delhi
Sales Executive," 2,50,000 - 6,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales,Hyderabad
Test Engineer," 3,00,000 - 6,00,000 PA. ",2,"Manual Testing, Automation Testing, Selenium, Test Cases, Defect Reporting",Testing Engineer,Gurgaon
Business Manager," 20,00,000 - 25,00,000 PA. ",4,"Business Strategy, Team Leadership, Client Relationship Management",Business Analyst,Bengaluru
Hiring For IT Recruiter," 1,50,000 - 3,75,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Pune
Senior Salesforce Developer," 10,00,000 - 20,00,000 PA. ",5,"Communication, CRM, Negotiation, Lead Generation",Software Developer,Kolkata
Manager," 14,00,000 - 16,00,000 PA. ",4,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Purchase / Vendor Development Manager,Hyderabad
Accounts Executive," 3,00,000 - 3,50,000 PA. ",3,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Chandigarh
Wealth Manager," 2,00,000 - 5,50,000 PA. ",6,"Investment Advisory, Portfolio Management, Financial Planning, Client Relationship",Client Relationship Manager,Bengaluru
Sales Manager," 3,50,000 - 7,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Asset Manager,Chandigarh
Deputy Manager," 2,50,000 - 3,25,000 PA. ",1,"Team Management, Strategic Planning, Performance Monitoring, Reporting, Process Improvement",Operations Manager,Pune
Regional Sales Manager," 15,00,000 - 20,00,000 PA. ",10,"Communication, CRM, Negotiation, Lead Generation",Regional Manager,Kolkata
Asst. Manager," 5,00,000 - 9,00,000 PA. ",3,"Team Coordination, Process Management, Reporting, Operations Support",Accounts Manager,Mumbai
Assistant Manager," 3,00,000 - 5,00,000 PA. ",3,"Team Coordination, Process Management, Reporting, Operations Support",Business Development Manager,Ahmedabad
Front End Developer," 2,50,000 - 6,00,000 PA. ",2,"HTML, CSS, JavaScript, React, Responsive Design",Software Developer,Mumbai
Legal Manager,"INR 3,00,000 - 5,00,000 PA.",2,"Legal Compliance, Contract Drafting, Legal Research, Corporate Law",Legal Manager,Mumbai
Area Manager," 10,00,000 - 16,00,000 PA. ",10,"Multi-Unit Operations, Team Management, Sales Strategy, Performance Monitoring",Area Sales Manager,Kolkata
HR Executive," 1,25,000 - 1,50,000 PA. ",1,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Delhi
HR Executive," INR 2,00,000 - 2,50,000 PA.",5,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Noida
Content Manager," 4,00,000 - 6,00,000 PA. ",1,"Content Creation, SEO, CMS, Editorial Strategy",Content Developer,Pune
Manager," 10,00,000 - 13,00,000 PA. ",4,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Business Development Manager,Noida
Plant Head," 9,00,000 - 12,00,000 PA. ",7,"Manufacturing Operations, Safety Compliance, Production Planning, Team Leadership",Head,Hyderabad
HR," 3,00,000 - 4,75,000 PA. ",3,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Manager,Pune
HR Executive," 2,50,000 - 3,50,000 PA. ",2,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Chennai
Web Developer," 7,00,000 - 8,00,000 PA. ",2,"HTML, CSS, JavaScript, PHP, React, Responsive Design",Software Developer,Mumbai
Business Development Manager," 3,00,000 - 8,00,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Java Developer," 5,00,000 - 10,00,000 PA. ",5,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Noida
Relationship Manager," 3,50,000 - 8,50,000 PA. ",2,"Client Relationship, Cross-Selling, Financial Advisory, Customer Retention, Sales",Business Development Manager,Delhi
Urgent Hiring," 2,50,000 - 4,25,000 PA. ",1,"General Support, Coordination, Immediate Availability",Sales / Business Development Manager,Mumbai
Urgent Opening," 3,75,000 - 8,75,000 PA. ",3,"Office Support, Admin Duties, Urgent Role Fulfillment",Company Secretary,Pune
Business Analyst," 2,50,000 - 3,50,000 PA. ",1,"Requirement Gathering, Business Process Analysis, Stakeholder Communication, Data Analysis",Business Analyst,Pune
Regional Product Manager," 12,00,000 - 15,00,000 PA. ",5,"Product Strategy, Market Research, Regional Sales Support, Product Launch",Product Manager,Mumbai
Senior Java Developer," 3,00,000 - 6,00,000 PA. ",3,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Pune
Purchase Executive," 2,00,000 - 2,50,000 PA. ",1,"Procurement, Vendor Negotiation, Inventory Management, SAP",Purchase Executive,Delhi
Key Accounts Manager," 5,00,000 - 6,50,000 PA. ",2,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Business Development Manager,Bengaluru
Content Writer," 2,50,000 - 4,00,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",Technical Content Developer,Ahmedabad
Sales Coordinator," 50,000 - 3,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Coordinator,Raipur
Head," 16,00,000 - 22,50,000 PA. ",11,"Strategic Planning, Team Leadership, Budgeting, Operations, Stakeholder Management",Head,Delhi
Vice President," 50,00,000 - 70,00,000 PA. ",20,"Executive Leadership, Business Strategy, Stakeholder Management, Financial Oversight",GM-Marketing,Mumbai
Product Owner," INR 17,00,000 - 32,00,000 PA.",7,"Agile, Product Backlog, User Stories, Stakeholder Communication",Product Manager,Hyderabad
HR Manager," 4,00,000 - 8,00,000 PA. ",5,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Manager,Mumbai
Manager," 8,00,000 - 10,00,000 PA. ",8,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Commercial Manager,Mumbai
Analytics Manager," 19,00,000 - 30,00,000 PA. ",6,"Data Analytics, Dashboarding, Team Management, SQL, Business Intelligence",Analytics Manager,Delhi
Sales Manager," 2,50,000 - 4,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Senior Engineer," INR 6,00,000 - 15,00,000 PA.",5,"Engineering Design, Project Management, Technical Oversight, Reporting",Technical Support Engineer,Bengaluru
Core Java Developer," 1,00,000 - 1,75,000 PA. ",4,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Gurgaon
PHP Developer," 1,75,000 - 3,50,000 PA. ",2,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Lucknow
Business Development Executive," 1,75,000 - 3,50,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Bengaluru
Senior .Net Developer," 4,75,000 - 9,75,000 PA. ",3,"C#, ASP.NET, MVC, SQL Server, Web API",Software Developer,Hyderabad
Pre Primary Teacher," 80,000 - 3,00,000 PA. ",0,"Early Childhood Education, Lesson Planning, Classroom Management, Child Development",Class Teacher,Mumbai
Assistant Manager," 2,50,000 - 4,75,000 PA. ",2,"Team Coordination, Process Management, Reporting, Operations Support",Sales / Business Development Manager,Mumbai
Accounts & Finance Executive," 1,75,000 - 3,75,000 PA. ",0,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Noida
Head," 12,00,000 - 22,00,000 PA. ",10,"Strategic Planning, Team Leadership, Budgeting, Operations, Stakeholder Management",National Head,Pune
Software Engineer," 15,00,000 - 30,00,000 PA. ",3,"Programming, Software Development, Debugging, SDLC",Software Developer,Delhi
Quality Analyst," 2,00,000 - 4,75,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",Quality Assurance / Quality Control Executive,Chennai
Senior Manager," 6,00,000 - 14,00,000 PA. ",5,"Strategic Leadership, Budgeting, Team Management, Performance Analysis, Stakeholder Management",Sales / Business Development Manager,Bengaluru
Area Sales Manager," 2,00,000 - 6,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Area / Territory Manager,Mumbai
Deputy Manager Accounts," 3,00,000 - 4,50,000 PA. ",5,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Noida
Manager," 5,00,000 - 10,00,000 PA. ",3,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Regulatory Affairs Manager,Delhi
Manager Sales & Marketing," 6,00,000 - 9,00,000 PA. ",5,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Bengaluru
Banking Sales Products," 1,25,000 - 2,25,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Ghaziabad
Medical Coding Jobs," 2,50,000 - 5,00,000 PA. ",0,"ICD-10, CPT, HCPCS, Medical Terminology, Billing, Healthcare Compliance",Medical Officer,Chennai
Java Developer," 7,50,000 - 9,00,000 PA. ",4,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Delhi
Automation Test Engineer," 4,00,000 - 9,00,000 PA. ",5,"Selenium, Test Automation, Python/Java, TestNG, Jenkins",Testing Engineer,Chennai
Branch Head," 15,00,000 - 17,00,000 PA. ",6,"Branch Operations, Sales Strategy, Team Leadership, Customer Engagement",Branch Manager,Mumbai
Recruitment Executive," 1,00,000 - 2,75,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Mumbai
Team Leader," 1,25,000 - 3,00,000 PA. ",0,"Team Management, Target Achievement, Coaching, Reporting, Communication",Team Leader -(NonTechnical),Hyderabad
Web Designer," 3,50,000 - 6,50,000 PA. ",4,"HTML, CSS, Adobe XD, Figma, UI/UX Design, Responsive Design",Web Designer,Gurgaon
Desktop Support Engineer," 90,000 - 2,25,000 PA. ",0,"Technical Support, Troubleshooting, Windows, Networking",Customer Support Engineer,Mumbai
Manager," 12,00,000 - 15,00,000 PA. ",8,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Manager / Sr Manager - Administration,Pune
Assistant Manager," 3,00,000 - 7,00,000 PA. ",3,"Team Coordination, Process Management, Reporting, Operations Support",Sales / Business Development Manager,Gurgaon
Hardware Design Engineer," 5,00,000 - 12,00,000 PA. ",6,"Circuit Design, PCB Layout, Embedded Systems, CAD Tools",Hardware Design Engineer,Bengaluru
Software Engineer," 4,00,000 - 6,00,000 PA. ",2,"Programming, Software Development, Debugging, SDLC",Software Developer,Bengaluru
Java Developer," 2,00,000 - 6,50,000 PA. ",1,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Delhi
Business Development Executive," 1,50,000 - 2,50,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales / Business Development Manager,Delhi
Technical Support Engineer," 2,25,000 - 4,25,000 PA. ",0,"Troubleshooting, Customer Service, Hardware Support, Software Support",Associate / Senior Associate -(NonTechnical),Bengaluru
Data Scientist," 13,00,000 - 19,00,000 PA. ",5,"Python, Machine Learning, Data Analysis, SQL, Statistics, Pandas",Data Analyst,Bengaluru
Manager," 5,00,000 - 10,00,000 PA. ",5,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Sales / Business Development Manager,Chennai
Regional Sales Manager," 8,00,000 - 10,00,000 PA. ",8,"Communication, CRM, Negotiation, Lead Generation",Regional Manager,Gurgaon
Area Manager," 7,00,000 - 10,00,000 PA. ",5,"Multi-Unit Operations, Team Management, Sales Strategy, Performance Monitoring",Area Sales Manager,Hyderabad
Senior Magento Developer," 8,00,000 - 12,00,000 PA. ",6,"Magento, PHP, MySQL, JavaScript, eCommerce Development, API Integration",Software Developer,Hyderabad
Area Business Manager," 3,00,000 - 4,50,000 PA. ",3,"Sales Strategy, Team Leadership, Market Expansion, Business Planning",Area Sales Manager,Ghaziabad
Product Manager," 20,00,000 - 25,00,000 PA. ",5,"Product Strategy, Roadmap Planning, Market Research, Agile, Stakeholder Communication",Business Development Manager,Mumbai
Accountant," 3,00,000 - 7,00,000 PA. ",3,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Gurgaon
Area Sales Manager," 12,00,000 - 18,00,000 PA. ",8,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Pune
Business Development Executive," 4,00,000 - 7,00,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
